[2025-04-30 20:13:08,947][INFO] step 0: train loss 1.1420, val loss 1.1419
[2025-04-30 20:13:32,481][INFO] iter 0: loss 1.1422
[2025-04-30 20:15:13,443][INFO] step 1000: train loss 0.0418, val loss 0.0418
[2025-04-30 20:15:13,444][INFO] saving checkpoint to out/parity_1_1_120_2_parity
[2025-04-30 20:16:56,879][INFO] step 2000: train loss 0.0364, val loss 0.0364
[2025-04-30 20:16:56,879][INFO] saving checkpoint to out/parity_1_1_120_2_parity
[2025-04-30 20:18:38,096][INFO] step 3000: train loss 0.0364, val loss 0.0364
[2025-04-30 20:18:38,097][INFO] saving checkpoint to out/parity_1_1_120_2_parity
[2025-04-30 20:20:19,129][INFO] step 4000: train loss 0.0364, val loss 0.0364
[2025-04-30 20:20:19,129][INFO] saving checkpoint to out/parity_1_1_120_2_parity
[2025-04-30 20:22:00,510][INFO] step 5000: train loss 0.0363, val loss 0.0363
[2025-04-30 20:22:00,511][INFO] saving checkpoint to out/parity_1_1_120_2_parity
[2025-04-30 20:23:42,153][INFO] step 6000: train loss 0.0363, val loss 0.0363
[2025-04-30 20:23:42,154][INFO] saving checkpoint to out/parity_1_1_120_2_parity
[2025-04-30 20:25:22,778][INFO] step 7000: train loss 0.0363, val loss 0.0363
[2025-04-30 20:25:22,778][INFO] saving checkpoint to out/parity_1_1_120_2_parity
[2025-04-30 20:27:02,679][INFO] step 8000: train loss 0.0363, val loss 0.0363
[2025-04-30 20:27:02,679][INFO] saving checkpoint to out/parity_1_1_120_2_parity
[2025-04-30 20:28:42,442][INFO] step 9000: train loss 0.0363, val loss 0.0363
[2025-04-30 20:28:42,442][INFO] saving checkpoint to out/parity_1_1_120_2_parity
[2025-04-30 20:30:22,325][INFO] step 10000: train loss 0.0363, val loss 0.0363
[2025-04-30 20:30:22,325][INFO] saving checkpoint to out/parity_1_1_120_2_parity
[2025-04-30 20:30:22,395][INFO] iter 10000: loss 0.0362
[2025-04-30 20:30:22,551][DEBUG] Loaded backend module://matplotlib_inline.backend_inline version unknown.
[2025-04-30 20:30:22,559][DEBUG] findfont: Matching sans\-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0.
[2025-04-30 20:30:22,559][DEBUG] findfont: score(FontEntry(fname='/usr/local/lib/python3.11/dist-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSerifDisplay.ttf', name='DejaVu Serif Display', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
[2025-04-30 20:30:22,560][DEBUG] findfont: score(FontEntry(fname='/usr/local/lib/python3.11/dist-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSansMono-Oblique.ttf', name='DejaVu Sans Mono', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
[2025-04-30 20:30:22,560][DEBUG] findfont: score(FontEntry(fname='/usr/local/lib/python3.11/dist-packages/matplotlib/mpl-data/fonts/ttf/cmmi10.ttf', name='cmmi10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
[2025-04-30 20:30:22,560][DEBUG] findfont: score(FontEntry(fname='/usr/local/lib/python3.11/dist-packages/matplotlib/mpl-data/fonts/ttf/STIXNonUniBolIta.ttf', name='STIXNonUnicode', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
[2025-04-30 20:30:22,560][DEBUG] findfont: score(FontEntry(fname='/usr/local/lib/python3.11/dist-packages/matplotlib/mpl-data/fonts/ttf/STIXSizFiveSymReg.ttf', name='STIXSizeFiveSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
[2025-04-30 20:30:22,560][DEBUG] findfont: score(FontEntry(fname='/usr/local/lib/python3.11/dist-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSerif-BoldItalic.ttf', name='DejaVu Serif', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
[2025-04-30 20:30:22,560][DEBUG] findfont: score(FontEntry(fname='/usr/local/lib/python3.11/dist-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 0.05
[2025-04-30 20:30:22,560][DEBUG] findfont: score(FontEntry(fname='/usr/local/lib/python3.11/dist-packages/matplotlib/mpl-data/fonts/ttf/cmb10.ttf', name='cmb10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
[2025-04-30 20:30:22,560][DEBUG] findfont: score(FontEntry(fname='/usr/local/lib/python3.11/dist-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSerif.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
[2025-04-30 20:30:22,560][DEBUG] findfont: score(FontEntry(fname='/usr/local/lib/python3.11/dist-packages/matplotlib/mpl-data/fonts/ttf/STIXGeneralBol.ttf', name='STIXGeneral', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
[2025-04-30 20:30:22,560][DEBUG] findfont: score(FontEntry(fname='/usr/local/lib/python3.11/dist-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans-Oblique.ttf', name='DejaVu Sans', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 1.05
