[2025-05-04 22:15:45,069][INFO] step 0: train loss 1.5722, val loss 1.5721
[2025-05-04 22:16:07,338][INFO] iter 0: loss 1.5671
[2025-05-04 22:17:35,549][INFO] step 1000: train loss 0.6496, val loss 0.6496
[2025-05-04 22:17:35,549][INFO] saving checkpoint to out/parity_weighted_1_1_120_2_parity
[2025-05-04 22:19:03,988][INFO] step 2000: train loss 0.6494, val loss 0.6495
[2025-05-04 22:19:03,988][INFO] saving checkpoint to out/parity_weighted_1_1_120_2_parity
[2025-05-04 22:20:32,652][INFO] step 3000: train loss 0.6491, val loss 0.6491
[2025-05-04 22:20:32,652][INFO] saving checkpoint to out/parity_weighted_1_1_120_2_parity
[2025-05-04 22:22:03,376][INFO] step 4000: train loss 0.6486, val loss 0.6487
[2025-05-04 22:22:03,376][INFO] saving checkpoint to out/parity_weighted_1_1_120_2_parity
[2025-05-04 22:23:31,741][INFO] step 5000: train loss 0.6482, val loss 0.6482
[2025-05-04 22:23:31,742][INFO] saving checkpoint to out/parity_weighted_1_1_120_2_parity
[2025-05-04 22:25:00,757][INFO] step 6000: train loss 0.6476, val loss 0.6477
[2025-05-04 22:25:00,758][INFO] saving checkpoint to out/parity_weighted_1_1_120_2_parity
[2025-05-04 22:26:29,965][INFO] step 7000: train loss 0.6469, val loss 0.6469
[2025-05-04 22:26:29,965][INFO] saving checkpoint to out/parity_weighted_1_1_120_2_parity
[2025-05-04 22:27:58,575][INFO] step 8000: train loss 0.6463, val loss 0.6463
[2025-05-04 22:27:58,575][INFO] saving checkpoint to out/parity_weighted_1_1_120_2_parity
[2025-05-04 22:29:27,006][INFO] step 9000: train loss 0.6458, val loss 0.6458
[2025-05-04 22:29:27,007][INFO] saving checkpoint to out/parity_weighted_1_1_120_2_parity
[2025-05-04 22:30:56,241][INFO] step 10000: train loss 0.6454, val loss 0.6455
[2025-05-04 22:30:56,242][INFO] saving checkpoint to out/parity_weighted_1_1_120_2_parity
[2025-05-04 22:30:56,297][INFO] iter 10000: loss 0.6455
[2025-05-04 22:30:56,468][DEBUG] Loaded backend module://matplotlib_inline.backend_inline version unknown.
[2025-05-04 22:30:56,490][DEBUG] findfont: Matching sans\-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0.
[2025-05-04 22:30:56,491][DEBUG] findfont: score(FontEntry(fname='/usr/local/lib/python3.11/dist-packages/matplotlib/mpl-data/fonts/ttf/STIXSizThreeSymReg.ttf', name='STIXSizeThreeSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
[2025-05-04 22:30:56,491][DEBUG] findfont: score(FontEntry(fname='/usr/local/lib/python3.11/dist-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSerif.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
[2025-05-04 22:30:56,491][DEBUG] findfont: score(FontEntry(fname='/usr/local/lib/python3.11/dist-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSerifDisplay.ttf', name='DejaVu Serif Display', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
[2025-05-04 22:30:56,491][DEBUG] findfont: score(FontEntry(fname='/usr/local/lib/python3.11/dist-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans-BoldOblique.ttf', name='DejaVu Sans', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 1.335
[2025-05-04 22:30:56,491][DEBUG] findfont: score(FontEntry(fname='/usr/local/lib/python3.11/dist-packages/matplotlib/mpl-data/fonts/ttf/STIXSizFiveSymReg.ttf', name='STIXSizeFiveSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
[2025-05-04 22:30:56,491][DEBUG] findfont: score(FontEntry(fname='/usr/local/lib/python3.11/dist-packages/matplotlib/mpl-data/fonts/ttf/STIXSizThreeSymBol.ttf', name='STIXSizeThreeSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
[2025-05-04 22:30:56,491][DEBUG] findfont: score(FontEntry(fname='/usr/local/lib/python3.11/dist-packages/matplotlib/mpl-data/fonts/ttf/STIXSizFourSymBol.ttf', name='STIXSizeFourSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
[2025-05-04 22:30:56,491][DEBUG] findfont: score(FontEntry(fname='/usr/local/lib/python3.11/dist-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSerif-Italic.ttf', name='DejaVu Serif', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
[2025-05-04 22:30:56,491][DEBUG] findfont: score(FontEntry(fname='/usr/local/lib/python3.11/dist-packages/matplotlib/mpl-data/fonts/ttf/STIXGeneralItalic.ttf', name='STIXGeneral', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
[2025-05-04 22:30:56,491][DEBUG] findfont: score(FontEntry(fname='/usr/local/lib/python3.11/dist-packages/matplotlib/mpl-data/fonts/ttf/STIXNonUniBol.ttf', name='STIXNonUnicode', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
[2025-05-04 22:30:56,491][DEBUG] findfont: score(FontEntry(fname='/usr/local/lib/python3.11/dist-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSansMono-Bold.ttf', name='DejaVu Sans Mono', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
[2025-05-04 22:30:56,491][DEBUG] findfont: score(FontEntry(fname='/usr/local/lib/python3.11/dist-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSansMono-Oblique.ttf', name='DejaVu Sans Mono', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
[2025-05-04 22:30:56,491][DEBUG] findfont: score(FontEntry(fname='/usr/local/lib/python3.11/dist-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSansMono-BoldOblique.ttf', name='DejaVu Sans Mono', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
[2025-05-04 22:30:56,491][DEBUG] findfont: score(FontEntry(fname='/usr/local/lib/python3.11/dist-packages/matplotlib/mpl-data/fonts/ttf/STIXSizTwoSymReg.ttf', name='STIXSizeTwoSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
[2025-05-04 22:30:56,491][DEBUG] findfont: score(FontEntry(fname='/usr/local/lib/python3.11/dist-packages/matplotlib/mpl-data/fonts/ttf/cmr10.ttf', name='cmr10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
